department,fiscal_year,program,umbrella,description,fy_started,category_youth_development,data_quality,centralized_db,youth_served,youth_served_accuracy,demographic_info_collected,race_ethnicity,gender,household_income,age_range,grade_level,participation_frequency,multienrollment,program_season,service_area_council_district,total_funding_dollars,funding_accuracy,funding_source,general_fund_percentage,general_fund_source_amount,special_purpose_source_amount,city_staff,service_providers_contractors,recruitment_strategy,interactions,additional_info
HACLA,2023-2024,Digital Ambassadors - Agencywide,Yes,Digital literacy program for youth 18-24,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,56,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,"18 to 19, 20 to 25, 25 to 30",,Multiple times,Yes,Year-round,,653400,Exact,"Private Organization, Philanthropic Funds",,,,10 or more,1,,"""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff, Other",
HACLA,2023-2024,Proyecto Pastoral,Yes,"Youth development organization providing leadership development, arts, college readiness, tutoring and recreational/sports programming",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,350,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19",,Multiple times,Yes,Year-round,,450000,Estimate,"Private Organization, Philanthropic Funds, Other",,,,4-5,1,,"""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff, Other",
HACLA,2023-2024,"Project SOAR - Imperial Courts, Pico Gardens, Nickerson Gardens, Avalon Gardens, Gonzque Village. Ramona Gardens, William Mead, Jordan Downs,",Yes,Academic support and college readiness,2023-2024,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Basic Needs and Stability, Mentorship, Leadership Development",Very good,Yes,857,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,"12 to 14, 15 to 17, 18 to 19, 20 to 25","6-8th grade, 9-12th grade, Post-secondary",Multiple times,Yes,Year-round,,800000,Estimate,"Other, Private Organization, Philanthropic Funds",,,,,1,,,
HACLA,2023-2024,"AltaMed - Estrada Courts, Ramona Gardens, William Mead",Yes,Family health services,2023-2024,"Health and Wellbeing, Basic Needs and Stability",Very good,Yes,201,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"5 to 8, 0 to 5, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,800000,Estimate,"Private Organization, Philanthropic Funds, Other",,,,,1,,,
HACLA,2023-2024,HELPER Foundation,Yes,Prevention and Intervention Programs,2023-2024,"Mentorship, Leadership Development, Safety and Justice",Good,Yes,75,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,"12 to 14, 15 to 17, 18 to 19, 20 to 25","9-12th grade, 6-8th grade",Multiple times,Yes,Year-round,,250000,Estimate,"Philanthropic Funds, Private Organization, Other",,,,,,,,
Harbor,2023-2024,Student Worker Program,No,"The Port of LA provides unique opportunities for experiential learning, networking and personal development for undergraduate and graduate college students who maintain at least 12 quarter units or 9 semester units with a minimum grade point average of 2.5 (3.0 for graduate students).",,Career Readiness & Financial Empowerment,Very good,No,20,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",No,No,No,"18 to 19, 20 to 25",Post-secondary,Multiple times,No,Year-round,"CD 15, All Council Districts",1750457.3,Exact,Other,,,,4-5,0,"Emails, Newsletter, Physical Flyers, Educational Partners, Department Website, Instagram, Facebook, LinkedIn, Community Partnerships, Outreach Events",Educators,"$1,750,457.30 including year-round Student Workers and Student Engineer Employees"
Harbor,2023-2024,Student Engineer Program,No,The Port of LA employs college engineering majors as student engineers and architecture majors as student architects throughout the year. Student engineers/architects may assist in the design and construction of major Port and LA Waterfront projects and may be assigned to the Engineering. Construction or Good Movement divisions.,,Career Readiness & Financial Empowerment,Very good,No,6,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",No,No,No,"18 to 19, 20 to 25",Post-secondary,Multiple times,No,"Year-round, Summer","CD 15, All Council Districts",0,Exact,Other,,,,4-5,0,"Emails, Newsletter, Physical Flyers, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook, LinkedIn",Educators,"$1,750,457.30 including year-round Student Workers and Student Engineer Employees"
Harbor,2023-2024,Summer Internship Program,No,"The Port's Summer Internship Program is a 10-week paid internship that provides a unique opportunity for college-enrolled students to gain hands-on experience working at one of the world's busiest seaports, with assignment opportunities in a variety of fields.",,Career Readiness & Financial Empowerment,Very good,No,34,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",No,No,No,"18 to 19, 20 to 25",Post-secondary,Multiple times,No,Summer,"CD 15, All Council Districts",403591.07,Exact,Other,,,,4-5,0,"Emails, Newsletter, Physical Flyers, Outreach Events, Educational Partners, Department Website, Instagram, Facebook, LinkedIn",Educators,
Harbor,2023-2024,EXP Internship Program,No,"Each year, the Porthires participating students from the EXP Internship Program, six-week summer internship for Southern California high school students. Students build professional competence and personal confidence, setting them up for success in school, career and life.",,Career Readiness & Financial Empowerment,Very good,No,15,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",No,No,No,15 to 17,9-12th grade,Multiple times,No,Summer,"CD 15, All Council Districts",98862.11,Exact,Other,,,,4-5,1,"Educational Partners, Department Website",Educators,
Harbor,2023-2024,Engineering Week,,"In celebration of Engineering Week, Port engineers visited four elementary schools and presented to students.",,Academic Achievement & Education Enrichment,Very good,No,160,Estimated Amount,,,,,9 to 11,K-5th grade,One time (drop-in),,Winter,CD 15,,,,,,,,,,Educators,
Harbor,2023-2024,School Boat Tour Program,No,,,Academic Achievement & Education Enrichment,,No,9279,Estimated Amount,,,,,"9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",One time (drop-in),,,"All Council Districts, CD 15",,,,,,,1-3,,"Department Website, Educational Partners, Emails, Community Partnerships","Educators, Community members",
Harbor,2023-2024,Los Angeles Maritime Institute,,The Port of LA community investment grant was provided to the Los Angeles Maritime Institute to support their TopSail on-the-water education sailing program for at-risk youth.,,Academic Achievement & Education Enrichment,Very good,,,,,,,,,,,,,"CD 15, All Council Districts",290000,Exact,Other,,,,,,,,Youth Served = Not currently available. Maintained by grant recipient.
Harbor,2023-2024,"EXP (formerly International Trade Education Programs, Inc.)",,"A Port of LA community investment grant was provided to EXP, a program serving thousands of high school students annually. The grant supports youth maritime education programs that generate awareness, work experience and career preparation in the maritime industry.",,Career Readiness & Financial Empowerment,Very good,,8575,Estimated Amount,,,,,15 to 17,9-12th grade,Multiple times,,Year-round,,346150,Exact,Other,,,,,,,,
Harbor,2023-2024,STEM Community Event,,"A Port of LA community event with science, technology, engineering and math port-related activities and experts.",,Academic Achievement & Education Enrichment,Very good,No,50,Estimated Amount,,,,,"0 to 5, 5 to 8, 9 to 11, 12 to 14, 15 to 17, 20 to 25, 18 to 19, 25 to 30","Pre-K, K-5th grade, 6-8th grade, 9-12th grade",One time (drop-in),,,"CD 15, All Council Districts",,,,,,,10 or more,,"Emails, Newsletter, Physical Flyers, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members",
Harbor,2023-2024,Boys & Girls Clubs of Los Angeles Harbor,,A Port of LA community investment grant for the Boys & Girls Club Wilmington Port Ocean and Land Awareness Program.,,Academic Achievement & Education Enrichment,Very good,,,,,,,,,,,,,CD 15,,Estimate,Other,,,,,,,,"Total Funding amount = More than $100,000 large grant category. Youth Served = Not currently available. Maintained by grant recipient."
Harbor,2023-2024,"Port of Los Angeles Community Investment Grants in the general category (under $100,000 each) related to youth programs.",,Community investment grants including AltaSea Professional Development Seminar,Cabrillo Beach Youth Sailing Community Sailing Program for Youth,Port of Los Angeles High School Career Technical Education Marine Transportation,Think Earth Think Watershed Project,and Wilmington Youth Sailing.,,Academic Achievement & Education Enrichment,Very good,No,,,,,,,,,,,,"CD 15, All Council Districts",,,Other,,,,
ITA,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACERS,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LADBS,2023-2024,Campus Recruitment,No,LADBS participates in the Student Professional Worker (SPW) Program and Historically Black Colleges and Universities (HBCU) Summer Internship Program. Both programs are meant for Juniors and Seniors from 4-year colleges majoring in engineering so that they may gain exposure to the work of our engineers and lend administrative support. We do on occasion recruit and hire SPWs majoring in IT to service our Technology Service Helpdesk.,2016,Mentorship,Good,Yes,13,Exact Amount,Gender,Yes,Yes,No,,Post-secondary,Participation frequency not tracked,No,Year-round,All Council Districts,198235,Exact,Special Purpose Funds (City),0%,,48R,4-5,,Outreach Events,Other,"(1) Student Professional Worker (SPW) (an African-American majoring in electrical engineering at CSULB) was hired n March 2024 as a result of our recruitment efforts during the National Society of Black Engineers (NSBE) 50th Annual National Convention. LADBS is in the process of hiring (6) additional SPWs; (3) Mechanical Engineering majors; (2) Electrical Engineering majors, and (1) Computer Engineering major. The SPWs were recruited during the National Society of Black Engineers (Region VI) 2024 Fall Conference They are projected to start by February 2025. (1) SPW will be transitioning to full-time employment in February 2025."
LADWP,2023-2024,Youth Services Academy,No,LAUSD students will participate in an internship with LADWP recruitment at either the LADWP's John Fer-raro Building (JFB) and Figueroa Plaza in Downtown Los Angeles or various field offices across Los Ange-les. Students are eligible to work up to sixteen (16) hours a week (Monday to Friday) under the supervision of a LADWP mentor and will attend a Work Experience Education Class,1990,Career Readiness & Financial Empowerment,Fair,No,,,"Race/ethnicity, Gender, Address or Zipcode",No,No,Unsure,18 to 19,9-12th grade,One time (drop-in),No,"Fall, Winter , Spring, Summer, Year-round",All Council Districts,,,Other,,,,20 or more,1,"Emails, Referrals, Educational Partners",Educators,
LAHD,2023-2024,Emergency Solution Grant (ESG),No,Funds serving households with adults and children under age of 25 through LAHSA contract.,,Basic Needs and Stability,,,3495,,,,,,"0 to 5, 5 to 8, 9 to 11, 12 to 14, 15 to 17",,,,,,19511128,Exact,Special Purpose Funds (State),0%,,,,,,,"Total number of persons in households served: Adults 2,793 + Children 3054 = total 5,847. #of persons under 18 = 3,054, ages 18-24 = 441, and ages 25 & over = 2,352."
LAHSA,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAWA,2023-2024,Aviation Career Day,Yes,"Aviation Career Day brings together local high school seniors and 20-30 airport partners, including airlines, cargo companies, law-enforcement agencies, STEM firms, flight schools and colleges. Students get to visit booths, tour aircraft and talk to employers and educators to find out more about careers in aviation.",2016-17,"Career Readiness & Financial Empowerment, Academic Achievement & Education Enrichment",Very good,"No, but there is interest in creating one.",2000,Estimated Amount,"Airfield tours are offered at both LAX and Van Nuys year-round by request to all age groups, including youth.",,,,"15 to 17, 18 to 19",9-12th grade,One time (drop-in),,Fall,All Council Districts,80000,Estimate,Special Purpose Funds (City),0%,0,,20 or more,50,"Educational Partners, Community Partnerships",Educators,"Two events held annually in October, one of the airfield at LAX and the other on the airfield at Van Nuys. Funding is an estimate for both events which come out of Community Relations budget."
LAWA,2023-2024,Airfield Tours,Yes,LAWA Community Relations offers airfield tours on request to local schools and civic organizations. These tours can be customized to the age group and interest level.,Unknown,Academic Achievement & Education Enrichment,Very good,"No, but there is interest in creating one.",250,Estimated Amount,Other,,,,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",Participation frequency not tracked,,Year-round,All Council Districts,,,Special Purpose Funds (City),0%,0,,6-9,0,"Referrals, Community Partnerships, Educational Partners","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators",Funding amount is unknown due to this being a core responsibility of the Community Relations Division.
Library,2023-2024,Storytimes and programs,Yes,"High-quality, interactive, and engaging storytimes and other programs for a variety of ages and abilities including: baby and toddler story and playtime, preschool storytime, sensory storytime, family storytime, puppet shows, arts and crafts, STEAM programs, coding, book clubs, Storywalks, and more.",~1950s,"Recreation, Academic Achievement & Education Enrichment, Health and Wellbeing",Good,Yes,15231,Estimated Amount,,,,,"0 to 5, 5 to 8, 9 to 11","Pre-K, K-5th grade",Participation frequency not tracked,,Year-round,All Council Districts,150000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members",
Library,2023-2024,STAR (Storytelling and Reading),Yes,"Trained volunteers who read books and tell stories with children at their local library. This program brings children and adults together from diverse cultural, ethnic, and socioeconomic backgrounds to share in the joy of reading.",1989,"Recreation, Academic Achievement & Education Enrichment",Good,Yes,12068,Estimated Amount,,,,,"0 to 5, 5 to 8, 9 to 11","Pre-K, K-5th grade",Participation frequency not tracked,,Year-round,All Council Districts,17000,Estimate,Philanthropic Funds,,,,50 or more,,"Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook, Newsletter, Emails","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members",
Library,2023-2024,El dia de los ninos/El dia de los libros (Children’s Day/Book Day),Yes,"Commonly known as Dia, this nationally recognized initiative culminates each year on April 30 and emphasizes a year-long commitment to celebrating the importance of literacy for children of all backgrounds.",2016,"Recreation, Academic Achievement & Education Enrichment",Good,Yes,1312,Estimated Amount,,,,,"0 to 5, 5 to 8, 9 to 11","Pre-K, K-5th grade",Participation frequency not tracked,,Spring,All Council Districts,30000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Outreach Events, Educational Partners, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,Get Ready for Kindergarten,Yes,School readiness program for parents/caregivers and children 2-5 years old.,2019,Academic Achievement & Education Enrichment,Good,Yes,2431,Estimated Amount,,,,,0 to 5,Pre-K,Participation frequency not tracked,,Year-round,All Council Districts,50000,Estimate,Philanthropic Funds,,,,50 or more,,"Facebook, Instagram, Department Website, Outreach Events, Educational Partners, Community Partnerships, Referrals, Physical Flyers, Newsletter, Emails","City department staff, Community members, Educators, ""Relatives (siblings, grandparents, etc.)"", ""Parents, guardings, caregivers""",
Library,2023-2024,"Read, Baby, Read!",Yes,"Library outreach & partnerships with hospitals and health care organizations to provide materials and information on early literacy to expecting parents and those with infants under one year old. New parents will read, talk, play, write and sing with their babies and come to the library for free information, resources, and programs. Every new baby in Los Angeles will receive their own free library card.",2017,"Recreation, Health and Wellbeing",Good,Yes,7300,Estimated Amount,,,,,0 to 5,,Participation frequency not tracked,,Year-round,All Council Districts,200000,Estimate,Philanthropic Funds,,,,10 or more,,Community Partnerships,"""Parents, guardings, caregivers""",
Library,2023-2024,Teen Programs,Yes,All programs for youth ages 11-19 at the Los Angeles Public Library (LAPL).,1980s or 1990s,"Recreation, Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Health and Wellbeing, Leadership Development",Good,Yes,28828,Exact Amount,,,,,"15 to 17, 12 to 14, 18 to 19","6-8th grade, 9-12th grade",Participation frequency not tracked,,Year-round,All Council Districts,70000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,Get Ready for College,Yes,"Provides students with the tools to improve their study skills through free workshops, and helps prepare students for college entrance exams, college applications and college life through motivational seminars and test-taking practice sessions.",2006,"College Readiness, Academic Achievement & Education Enrichment",Good,Yes,300,Estimated Amount,,,,,"12 to 14, 15 to 17, 18 to 19","9-12th grade, 6-8th grade",Participation frequency not tracked,,"Fall, Winter , Spring",All Council Districts,200000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,Student Zones,Yes,"Designated study area with internet or laptop computers reserved for students in grades K-12. In addition to computers, school assignment-related printouts and basic school supplies are available free of charge, as well as assistance finding books and information online, and online tutoring via Live Homework Help. Student Zone Helpers are contract staff that assist at 38 of our branches.",2014,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment",Very good,Yes,7242,Exact Amount,,,,,"12 to 14, 15 to 17, 18 to 19, 5 to 8, 9 to 11","9-12th grade, K-5th grade, 6-8th grade",Participation frequency not tracked,,"Fall, Winter , Spring",All Council Districts,450000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,VolunTEENs,Yes,"Teens who earn community service hours and gain leadership skills by participating in Teen Council, assist with Student Zones and additional library programs, projects, and events. Includes eligibility for the President’s Volunteer Service Award.",1990s,"Recreation, Leadership Development, Mentorship",Good,Yes,665,Exact Amount,,,,,"12 to 14, 15 to 17, 18 to 19","6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,All Council Districts,0,Exact,,,,,50 or more,,"Newsletter, Emails, Referrals, Physical Flyers, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,Teen Council,Yes,"Tween and teen council members earn community service hours and gain leadership and project management skills by assisting in planning teen library programs and projects, refreshing and maintaining teen library spaces, advising and recommending items to add to teen library collections, and more.",1990s,"Recreation, Leadership Development",Good,Yes,483,Exact Amount,,,,,"12 to 14, 15 to 17, 18 to 19","6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,All Council Districts,0,Exact,,,,,50 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff",
Library,2023-2024,Teens Leading Change,Yes,"Teen-designed and -implemented civic engagement/civic empowerment projects that engage and inform youth about their communities and their libraries. Mini grants of $100 - $5,000 are given to teen library projects related to: Library Advocacy/ Information Literacy, Cultural & Community Conversations /Archives, Know Your Rights/Citizenship, Net Neutrality/Privacy, Voter Registration/Rights and more.",2017,"Leadership Development, Mentorship",Good,Yes,150,Exact Amount,,,,,"12 to 14, 15 to 17, 18 to 19","6-8th grade, 9-12th grade",Multiple times,Yes,"Winter , Spring",All Council Districts,35000,Estimate,Philanthropic Funds,,,,50 or more,,"Emails, Physical Flyers, Newsletter, Referrals, Outreach Events, Community Partnerships, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Social workers, Community members, City department staff",
Mayor,2023-2024,Gang Reduction and Youth Development (GRYD) program,No,"The Gang Reduction and Youth Development (GRYD) program, operated by the City of Los Angeles Mayor’s Office, is a comprehensive initiative aimed at preventing and reducing gang involvement and violence among youth and young adults ages 10 to 25. Established in 2007, GRYD provides prevention and intervention services across 23 designated zones, focusing on individualized case management, family support, reentry services, and community engagement. The program also includes citywide initiatives like Summer Night Lights to create safe spaces and positive alternatives during peak violence hours. GRYD partners with community-based organizations, city departments, and academic institutions to deliver services, track progress, and improve outcomes through research and evaluation.",2007-2008,Safety and Justice,,,,,"Race/ethnicity, Gender, Household Income, Address or Zipcode, Justice-involved",Yes,Yes,Yes,"9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25",,,,Year-round,All Council Districts,41398869,Exact,General Fund (City),100%,"$2,8453,000 General City Purpose and $12,920,869 from Unappropriated Balance",,,24,,,
NeighborhoodEmpowerment,2023-2024,2024 EmpowerLA Youth Conference,No,"EmpowerLA seeks to motivate young people to get involved with the Neighborhood Council system and intentionally shape their personal and professional futures. Conference attendees will have the opportunity to hear from City leaders, attend workshops and panel discussions, and participate in a resource fair with over a dozen City departments and trusted community partners. This conference is free to attend, and breakfast and lunch will be provided to all attendees.",2023-2024,Leadership Development,Excellent,Yes,60,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode, Other",Yes,Yes,,"12 to 14, 15 to 17",9-12th grade,Multiple times,Yes,Spring,All Council Districts,10947,Exact,General Fund (City),100%,10947,0,30 or more,20,"Emails, Newsletter, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook, Other Social Media","Community members, City department staff, Educators, ""Parents, guardings, caregivers""",Our post event report: https://drive.google.com/file/d/19GKKOyuvHFGRjCWwkWZkptlTpN-l_L0g/view?usp=sharing
OfficeFinance,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personnel,2023-2024,"LA Local Hire Alternative Path Way Programs (Targeted Local Hire, Bridge to Jobs and Part-Time to Full Time)",Yes,"The City of Los Angeles seeks to connect all Angelenos to employment opportunities, including those who may face barriers to employment. The Targeted Local Hire (TLH) Program and the Bridge to Jobs (BTJ) Program are efforts to help under-served and under-employed populations find an alternative pathway to rewarding Civil Service careers with the City of Los Angeles. These two programs create a unique opportunity for individuals to enter into Civil Service outside of the City’s traditional pathway.",2016-2017,Career Readiness & Financial Empowerment,Excellent,Yes,106,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,,Post-secondary,One time (drop-in),Yes,Year-round,All Council Districts,,Estimate,General Fund (City),100%,General City Purpose,,10 or more,Over 50 CBOS and all City WorkSource Centers,"Emails, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook","Community members, City department staff, Educators",*143 applicants in TLH Pool and 93 hired via TLH * 76 applicants in BTJ Pool and 13 hired via BTJ
Personnel,2023-2024,City of LA Career Awareness Program,No,The City of Los Angeles Recruitment Section attends events in and around Los Angeles to share the  wide range of career opportunities the City offers with next generation of talent. This outreach provides a unique opportunity to connect with youth who may be making decisions about what career path they may want to pursue after graduation.,2024-2025,Career Readiness & Financial Empowerment,Fair,No,1000,Estimated Amount,,,,,"15 to 17, 18 to 19",9-12th grade,One time (drop-in),No,Year-round,,1020,Exact,General Fund (City),100%,General City Purpose,,6-9,,Educational Partners,Educators,
Personnel,2023-2024,College Campus Recruitment Events,Yes,"The City of Los Angeles Recruitment Section connects with college students through on-campus and virtual college events to showcase career opportunities with the City. By engaging with students directly, the program highlights pathways to City jobs, provides insights into the hiring process, and shares information about why the City is an employer of choice.","Unknown, several years",Career Readiness & Financial Empowerment,Poor,No,800,Estimated Amount,,,,,"18 to 19, 20 to 25, 25 to 30",Post-secondary,One time (drop-in),No,Year-round,All Council Districts,,,General Fund (City),,,,1-3,,"Instagram, LinkedIn, Facebook, Other Social Media",,"The Recruitment Team primarily attends free events, but have attended a few events when funding allows. In these cases, the fees are covered from General Funds."
Personnel,2024-2025,Building Your Future with the City of Los Angeles Youth Webinar,Yes,"The Personnel Department’s Recruitment Section, in partnership with the Youth Development Department, hosted Recruiter Connect: Community Edition – Building Your Future with the City of Los Angeles. This webinar allows attendees to gain valuable insights into City hiring, including civil service vs. exempt positions, job search strategies, and application best practices.",2024-2025,Career Readiness & Financial Empowerment,Fair,"No, but there is interest in creating one.",175,Estimated Amount,,,,,"18 to 19, 20 to 25, 25 to 30",Post-secondary,One time (drop-in),No,Year-round,All Council Districts,,,,,,,4-5,,"Emails, Facebook, LinkedIn, Other Social Media, Instagram",,150-200 youth served.
Planning,2023-2024,Outreach & Engagement,Yes,"Our department conducts various outreach activities to engage community members and share the work of the planning department. Outreach includes tabling at citywide events (street fairs, neighborhood events), alliances, and coordinating with neighborhood councils to provide up to date information on interdepartamental happenings.",annually,Other,Fair,Yes,,,,No,No,No,,,Participation frequency not tracked,Yes,Year-round,All Council Districts,,,,,,,40 or more,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Other, Instagram, Facebook, LinkedIn, Other Social Media","Community members, City department staff, Other",our department does general outreach to community members and stake holders
Police,2023-2024,LAPD Cadet Leadership,No,"Program for 13-17 year-olds that focuses on youth development, leadership, academic excellence, and community stewardship. The program is run by full-time police officers who serve as mentors to the youth throughout the entire City of Los Angeles.","The Cadet program is a year-round program that has been in existent for 63 years. The Cadets was active throughout the entire 2023-2024 fiscal year, and has been active through the current fiscal year (2024-2025).",Leadership Development,Good,Yes,1052,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,No,13 to 17,8-12th grade,Multiple times,Yes,Year-round,All Council Districts,1500000,Estimate,"Other, Private Organization",0%,,,50 or more,0,"Emails, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Other Social Media","Community members, Educators, ""Relatives (siblings, grandparents, etc.)"", ""Parents, guardings, caregivers""","The Cadet Leadership Program is offered to youth between the ages of 13-17 years of age. The program is free of charge for all participants. All youth are able to join as long as they meet a minimum of a 2.0 Grade Point Average, are of good moral character and have not been arrested, and are in good physical health where they can participate in physical fitness. U.S. Citizenship is not a requirement to join."
Police,2023-2024,LAPD Junior Cadets,No,"The Jr Cadet Program focuses on youth development. It teaches them leadership, self-discipline, physical fitness all while preparing them to transition into the Cadet Leadership Program.","The Junior Cadet program is a year round program that has been active for numerous years, including the current 2025-2026 fiscal year.",Leadership Development,Good,Yes,561,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,No,8 to 12,3rd-8th,Multiple times,Yes,Year-round,All Council Districts,75000,Estimate,"Other, Private Organization",0%,,,30 or more,0,"Physical Flyers, Referrals, Outreach Events, Department Website, Instagram","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff","The Junior Cadets is offered to youth between the ages of 8-12 years old. Currently, 16 divisions offer this program. The program is funded through private donations or fund raising that is done by the individual Division."
Police,2023-2024,LAPD Police Activities League (PAL),No,"The PALs is a youth crime prevention program that relies on educational, athletic and other recreational activities to cement a bond between police officers and the youth in the community.","PALs is a year-round program that has been around for several years, including the current 2025-2026 fiscal year.","Mentorship, Recreation, Career Readiness & Financial Empowerment",Good,Yes,1067,Estimated Amount,"Gender, Race/ethnicity",Yes,Yes,No,6 to 17,Pre-K to 12th grade,Multiple times,Yes,Year-round,All Council Districts,2000000,Estimate,Private Organization,0%,,,20 or more,0,"Physical Flyers, Referrals, Community Partnerships, Outreach Events, Department Website, Instagram","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Community members, City department staff","The PALs program is offered at 9 of the LAPD's geographical divisions. The age range for the youth is vast, from elementary school aged children to high school seniors. PALs offers a variety of programs, from basketball, boxing, and mentoring. The PALs are a non-profit organization and works in partnership with the LAPD."
Police,2023-2024,LAPD Jeopardy Program,No,"The Jeopardy Program is a gang prevention/intervention program for boys and girls, ages 8 through 17 and their parents. Jeopardy combines the strength of the community, neighborhood schools and the Department to effect positive, lifelong attitudinal changes in young people who are in jeopardy of being drawn into the gang lifestyle.","The Jeopardy Program has been active for several years, including the entire 2024-2025, and 2025-2026 fiscal year.","Safety and Justice, Mentorship, Academic Achievement & Education Enrichment",Good,Yes,148,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,No,8 to 17,3rd-12th,Multiple times,Yes,Year-round,All Council Districts,35000,Estimate,Private Organization,0%,,,10 or more,0,"Referrals, Community Partnerships, Outreach Events, Department Website","""Parents, guardings, caregivers"", Community members, City department staff",Jeopardy is offered at 5 of the LAPD's geographical divisions. It is self-funded by private donations and fundraising the the individual divisions.
